Admission Type,Year,Admissions,Service Type,Hospital Admissions,Facility Type,Number of Beds
    Singapore General Hospital,2010,73606,Accident & Emergency Departments,858781,Nursing Homes,9551
    Singapore General Hospital,2010,73606,Polyclinics,4314496,Acute Hospitals,8249
    Singapore General Hospital,2010,73606,Polyclinics,4314496,Psychiatric Hospitals,2010
    Singapore General Hospital,2010,73606,Polyclinics,4314496,Community Hospitals,842
    Singapore General Hospital,2010,73606,Polyclinics,4314496,Nursing Homes,9551
    Singapore General Hospital,2010,73606,Dental Clinics,862874,Acute Hospitals,8249
    Singapore General Hospital,2010,73606,Dental Clinics,862874,Psychiatric Hospitals,2010
    Singapore General Hospital,2010,73606,Dental Clinics,862874,Community Hospitals,842
    Singapore General Hospital,2010,73606,Dental Clinics,862874,Nursing Homes,9551
    Singapore General Hospital,2010,73606,Day Surgeries,229638,Acute Hospitals,8249
    Singapore General Hospital,2010,73606,Day Surgeries,229638,Psychiatric Hospitals,2010
    Singapore General Hospital,2010,73606,Day Surgeries,229638,Community Hospitals,842
    Singapore General Hospital,2010,73606,Day Surgeries,229638,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Acute Hospitals Admissions,427305,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Acute Hospitals Admissions,427305,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Acute Hospitals Admissions,427305,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Acute Hospitals Admissions,427305,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Psychiatric Hospitals Admissions,9759,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Psychiatric Hospitals Admissions,9759,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Psychiatric Hospitals Admissions,9759,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Psychiatric Hospitals Admissions,9759,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Community Hospitals Admissions,7534,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Community Hospitals Admissions,7534,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Community Hospitals Admissions,7534,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Community Hospitals Admissions,7534,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Specialist Outpatient Clinics,4023686,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Specialist Outpatient Clinics,4023686,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Specialist Outpatient Clinics,4023686,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Specialist Outpatient Clinics,4023686,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Accident & Emergency Departments,858781,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Accident & Emergency Departments,858781,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Accident & Emergency Departments,858781,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Accident & Emergency Departments,858781,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Polyclinics,4314496,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Polyclinics,4314496,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Polyclinics,4314496,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Polyclinics,4314496,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Dental Clinics,862874,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Dental Clinics,862874,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Dental Clinics,862874,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Dental Clinics,862874,Nursing Homes,9551
    Tan Tock Seng Hospital,2010,58543,Day Surgeries,229638,Acute Hospitals,8249
    Tan Tock Seng Hospital,2010,58543,Day Surgeries,229638,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2010,58543,Day Surgeries,229638,Community Hospitals,842
    Tan Tock Seng Hospital,2010,58543,Day Surgeries,229638,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Acute Hospitals Admissions,427305,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Acute Hospitals Admissions,427305,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Acute Hospitals Admissions,427305,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Acute Hospitals Admissions,427305,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Psychiatric Hospitals Admissions,9759,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Psychiatric Hospitals Admissions,9759,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Psychiatric Hospitals Admissions,9759,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Psychiatric Hospitals Admissions,9759,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Community Hospitals Admissions,7534,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Community Hospitals Admissions,7534,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Community Hospitals Admissions,7534,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Community Hospitals Admissions,7534,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Specialist Outpatient Clinics,4023686,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Specialist Outpatient Clinics,4023686,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Specialist Outpatient Clinics,4023686,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Specialist Outpatient Clinics,4023686,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Accident & Emergency Departments,858781,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Accident & Emergency Departments,858781,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Accident & Emergency Departments,858781,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Accident & Emergency Departments,858781,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Polyclinics,4314496,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Polyclinics,4314496,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Polyclinics,4314496,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Polyclinics,4314496,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Dental Clinics,862874,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Dental Clinics,862874,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Dental Clinics,862874,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Dental Clinics,862874,Nursing Homes,9551
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Day Surgeries,229638,Acute Hospitals,8249
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Day Surgeries,229638,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Day Surgeries,229638,Community Hospitals,842
    Institute Of Mental Health / Woodbridge Hospital,2010,9759,Day Surgeries,229638,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Acute Hospitals Admissions,427305,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Acute Hospitals Admissions,427305,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Acute Hospitals Admissions,427305,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Acute Hospitals Admissions,427305,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Psychiatric Hospitals Admissions,9759,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Psychiatric Hospitals Admissions,9759,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Psychiatric Hospitals Admissions,9759,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Psychiatric Hospitals Admissions,9759,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Community Hospitals Admissions,7534,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Community Hospitals Admissions,7534,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Community Hospitals Admissions,7534,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Community Hospitals Admissions,7534,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Specialist Outpatient Clinics,4023686,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Specialist Outpatient Clinics,4023686,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Specialist Outpatient Clinics,4023686,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Specialist Outpatient Clinics,4023686,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Accident & Emergency Departments,858781,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Accident & Emergency Departments,858781,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Accident & Emergency Departments,858781,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Accident & Emergency Departments,858781,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Polyclinics,4314496,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Polyclinics,4314496,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Polyclinics,4314496,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Polyclinics,4314496,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Dental Clinics,862874,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Dental Clinics,862874,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Dental Clinics,862874,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Dental Clinics,862874,Nursing Homes,9551
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Day Surgeries,229638,Acute Hospitals,8249
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Day Surgeries,229638,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Day Surgeries,229638,Community Hospitals,842
    Kandang Kerbau Women's & Children's Hospital,2010,64558,Day Surgeries,229638,Nursing Homes,9551
Public Sector Hospital Admissions,2011,357026,Acute Hospitals Admissions,446384,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Acute Hospitals Admissions,446384,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Acute Hospitals Admissions,446384,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Acute Hospitals Admissions,446384,Nursing Homes,9690
Public Sector Hospital Admissions,2011,357026,Psychiatric Hospitals Admissions,9628,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Psychiatric Hospitals Admissions,9628,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Psychiatric Hospitals Admissions,9628,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Psychiatric Hospitals Admissions,9628,Nursing Homes,9690
Public Sector Hospital Admissions,2011,357026,Community Hospitals Admissions,7679,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Community Hospitals Admissions,7679,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Community Hospitals Admissions,7679,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Community Hospitals Admissions,7679,Nursing Homes,9690
Public Sector Hospital Admissions,2011,357026,Specialist Outpatient Clinics,4234139,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Specialist Outpatient Clinics,4234139,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Specialist Outpatient Clinics,4234139,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Specialist Outpatient Clinics,4234139,Nursing Homes,9690
Public Sector Hospital Admissions,2011,357026,Accident & Emergency Departments,934485,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Accident & Emergency Departments,934485,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Accident & Emergency Departments,934485,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Accident & Emergency Departments,934485,Nursing Homes,9690
Public Sector Hospital Admissions,2011,357026,Polyclinics,4502043,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Polyclinics,4502043,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Polyclinics,4502043,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Polyclinics,4502043,Nursing Homes,9690
Public Sector Hospital Admissions,2011,357026,Dental Clinics,875802,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Dental Clinics,875802,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Dental Clinics,875802,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Dental Clinics,875802,Nursing Homes,9690
Public Sector Hospital Admissions,2011,357026,Day Surgeries,238071,Acute Hospitals,8304
Public Sector Hospital Admissions,2011,357026,Day Surgeries,238071,Psychiatric Hospitals,2010
Public Sector Hospital Admissions,2011,357026,Day Surgeries,238071,Community Hospitals,800
Public Sector Hospital Admissions,2011,357026,Day Surgeries,238071,Nursing Homes,9690
    National University Hospital,2011,56613,Acute Hospitals Admissions,446384,Acute Hospitals,8304
    National University Hospital,2011,56613,Acute Hospitals Admissions,446384,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Acute Hospitals Admissions,446384,Community Hospitals,800
    National University Hospital,2011,56613,Acute Hospitals Admissions,446384,Nursing Homes,9690
    National University Hospital,2011,56613,Psychiatric Hospitals Admissions,9628,Acute Hospitals,8304
    National University Hospital,2011,56613,Psychiatric Hospitals Admissions,9628,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Psychiatric Hospitals Admissions,9628,Community Hospitals,800
    National University Hospital,2011,56613,Psychiatric Hospitals Admissions,9628,Nursing Homes,9690
    National University Hospital,2011,56613,Community Hospitals Admissions,7679,Acute Hospitals,8304
    National University Hospital,2011,56613,Community Hospitals Admissions,7679,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Community Hospitals Admissions,7679,Community Hospitals,800
    National University Hospital,2011,56613,Community Hospitals Admissions,7679,Nursing Homes,9690
    National University Hospital,2011,56613,Specialist Outpatient Clinics,4234139,Acute Hospitals,8304
    National University Hospital,2011,56613,Specialist Outpatient Clinics,4234139,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Specialist Outpatient Clinics,4234139,Community Hospitals,800
    National University Hospital,2011,56613,Specialist Outpatient Clinics,4234139,Nursing Homes,9690
    National University Hospital,2011,56613,Accident & Emergency Departments,934485,Acute Hospitals,8304
    National University Hospital,2011,56613,Accident & Emergency Departments,934485,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Accident & Emergency Departments,934485,Community Hospitals,800
    National University Hospital,2011,56613,Accident & Emergency Departments,934485,Nursing Homes,9690
    National University Hospital,2011,56613,Polyclinics,4502043,Acute Hospitals,8304
    National University Hospital,2011,56613,Polyclinics,4502043,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Polyclinics,4502043,Community Hospitals,800
    National University Hospital,2011,56613,Polyclinics,4502043,Nursing Homes,9690
    National University Hospital,2011,56613,Dental Clinics,875802,Acute Hospitals,8304
    National University Hospital,2011,56613,Dental Clinics,875802,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Dental Clinics,875802,Community Hospitals,800
    National University Hospital,2011,56613,Dental Clinics,875802,Nursing Homes,9690
    National University Hospital,2011,56613,Day Surgeries,238071,Acute Hospitals,8304
    National University Hospital,2011,56613,Day Surgeries,238071,Psychiatric Hospitals,2010
    National University Hospital,2011,56613,Day Surgeries,238071,Community Hospitals,800
    National University Hospital,2011,56613,Day Surgeries,238071,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Acute Hospitals Admissions,446384,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Acute Hospitals Admissions,446384,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Acute Hospitals Admissions,446384,Community Hospitals,800
    Singapore General Hospital,2011,74947,Acute Hospitals Admissions,446384,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Psychiatric Hospitals Admissions,9628,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Psychiatric Hospitals Admissions,9628,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Psychiatric Hospitals Admissions,9628,Community Hospitals,800
    Singapore General Hospital,2011,74947,Psychiatric Hospitals Admissions,9628,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Community Hospitals Admissions,7679,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Community Hospitals Admissions,7679,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Community Hospitals Admissions,7679,Community Hospitals,800
    Singapore General Hospital,2011,74947,Community Hospitals Admissions,7679,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Specialist Outpatient Clinics,4234139,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Specialist Outpatient Clinics,4234139,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Specialist Outpatient Clinics,4234139,Community Hospitals,800
    Singapore General Hospital,2011,74947,Specialist Outpatient Clinics,4234139,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Accident & Emergency Departments,934485,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Accident & Emergency Departments,934485,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Accident & Emergency Departments,934485,Community Hospitals,800
    Singapore General Hospital,2011,74947,Accident & Emergency Departments,934485,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Polyclinics,4502043,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Polyclinics,4502043,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Polyclinics,4502043,Community Hospitals,800
    Singapore General Hospital,2011,74947,Polyclinics,4502043,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Dental Clinics,875802,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Dental Clinics,875802,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Dental Clinics,875802,Community Hospitals,800
    Singapore General Hospital,2011,74947,Dental Clinics,875802,Nursing Homes,9690
    Singapore General Hospital,2011,74947,Day Surgeries,238071,Acute Hospitals,8304
    Singapore General Hospital,2011,74947,Day Surgeries,238071,Psychiatric Hospitals,2010
    Singapore General Hospital,2011,74947,Day Surgeries,238071,Community Hospitals,800
    Singapore General Hospital,2011,74947,Day Surgeries,238071,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Acute Hospitals Admissions,446384,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Acute Hospitals Admissions,446384,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Acute Hospitals Admissions,446384,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Acute Hospitals Admissions,446384,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Psychiatric Hospitals Admissions,9628,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Psychiatric Hospitals Admissions,9628,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Psychiatric Hospitals Admissions,9628,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Psychiatric Hospitals Admissions,9628,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Community Hospitals Admissions,7679,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Community Hospitals Admissions,7679,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Community Hospitals Admissions,7679,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Community Hospitals Admissions,7679,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Specialist Outpatient Clinics,4234139,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Specialist Outpatient Clinics,4234139,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Specialist Outpatient Clinics,4234139,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Specialist Outpatient Clinics,4234139,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Accident & Emergency Departments,934485,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Accident & Emergency Departments,934485,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Accident & Emergency Departments,934485,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Accident & Emergency Departments,934485,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Polyclinics,4502043,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Polyclinics,4502043,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Polyclinics,4502043,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Polyclinics,4502043,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Dental Clinics,875802,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Dental Clinics,875802,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Dental Clinics,875802,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Dental Clinics,875802,Nursing Homes,9690
    Tan Tock Seng Hospital,2011,56150,Day Surgeries,238071,Acute Hospitals,8304
    Tan Tock Seng Hospital,2011,56150,Day Surgeries,238071,Psychiatric Hospitals,2010
    Tan Tock Seng Hospital,2011,56150,Day Surgeries,238071,Community Hospitals,800
    Tan Tock Seng Hospital,2011,56150,Day Surgeries,238071,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Acute Hospitals Admissions,446384,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Acute Hospitals Admissions,446384,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Acute Hospitals Admissions,446384,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Acute Hospitals Admissions,446384,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Psychiatric Hospitals Admissions,9628,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Psychiatric Hospitals Admissions,9628,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Psychiatric Hospitals Admissions,9628,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Psychiatric Hospitals Admissions,9628,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Community Hospitals Admissions,7679,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Community Hospitals Admissions,7679,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Community Hospitals Admissions,7679,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Community Hospitals Admissions,7679,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Specialist Outpatient Clinics,4234139,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Specialist Outpatient Clinics,4234139,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Specialist Outpatient Clinics,4234139,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Specialist Outpatient Clinics,4234139,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Accident & Emergency Departments,934485,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Accident & Emergency Departments,934485,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Accident & Emergency Departments,934485,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Accident & Emergency Departments,934485,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Polyclinics,4502043,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Polyclinics,4502043,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Polyclinics,4502043,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Polyclinics,4502043,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Dental Clinics,875802,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Dental Clinics,875802,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Dental Clinics,875802,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Dental Clinics,875802,Nursing Homes,9690
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Day Surgeries,238071,Acute Hospitals,8304
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Day Surgeries,238071,Psychiatric Hospitals,2010
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Day Surgeries,238071,Community Hospitals,800
    Institute Of Mental Health / Woodbridge Hospital,2011,9628,Day Surgeries,238071,Nursing Homes,9690
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Acute Hospitals Admissions,446384,Acute Hospitals,8304
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Acute Hospitals Admissions,446384,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Acute Hospitals Admissions,446384,Community Hospitals,800
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Acute Hospitals Admissions,446384,Nursing Homes,9690
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Psychiatric Hospitals Admissions,9628,Acute Hospitals,8304
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Psychiatric Hospitals Admissions,9628,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Psychiatric Hospitals Admissions,9628,Community Hospitals,800
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Psychiatric Hospitals Admissions,9628,Nursing Homes,9690
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Community Hospitals Admissions,7679,Acute Hospitals,8304
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Community Hospitals Admissions,7679,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Community Hospitals Admissions,7679,Community Hospitals,800
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Community Hospitals Admissions,7679,Nursing Homes,9690
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Specialist Outpatient Clinics,4234139,Acute Hospitals,8304
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Specialist Outpatient Clinics,4234139,Psychiatric Hospitals,2010
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Specialist Outpatient Clinics,4234139,Community Hospitals,800
    Kandang Kerbau Women's & Children's Hospital,2011,67471,Specialist Outpatient Clinics,4234139,Nursing Homes,9690
